year,month,month_end_date,previous_month_close,month_end_close,monthly_return_pct,is_complete_month
2017,1,2017-01-31,906.469970703125,944.280029296875,4.171131953154683,True
2017,2,2017-02-28,944.280029296875,969.3800048828125,2.658107214723926,True
2017,3,2017-03-31,969.3800048828125,1011.4000244140625,4.334731407661918,True
2017,4,2017-04-28,1011.4000244140625,1005.530029296875,-0.5803831298687334,True
2017,5,2017-05-31,1005.530029296875,1091.4200439453125,8.541765252749013,True
2017,6,2017-06-30,1091.4200439453125,1034.9100341796875,-5.177659149574543,True
2017,7,2017-07-31,1034.9100341796875,1085.1500244140625,4.854527309148882,True
2017,8,2017-08-31,1085.1500244140625,1114.31005859375,2.6871891926125935,True
2017,9,2017-09-29,1114.31005859375,1171.739990234375,5.153855625525017,True
2017,10,2017-10-31,1171.739990234375,1275.6099853515625,8.864594191789177,True
2017,11,2017-11-30,1275.6099853515625,1272.550048828125,-0.23988025796098933,True
2017,12,2017-12-29,1272.550048828125,1253.050048828125,-1.532356233686627,True
2018,1,2018-01-31,1253.050048828125,1361.5,8.6548778537058,True
2018,2,2018-02-28,1361.5,1362.02001953125,0.03819460383767126,True
2018,3,2018-03-29,1362.02001953125,1328.9000244140625,-2.4316819607824836,True
2018,4,2018-04-30,1328.9000244140625,1244.4000244140625,-6.358642369448198,True
2018,5,2018-05-31,1244.4000244140625,1379.0,10.816455556509275,True
2018,6,2018-06-29,1379.0,1313.699951171875,-4.735318986811099,True
2018,7,2018-07-31,1313.699951171875,1367.469970703125,4.093021354174886,True
2018,8,2018-08-31,1367.469970703125,1401.199951171875,2.4665975261896733,True
2018,9,2018-09-28,1401.199951171875,1366.739990234375,-2.4593178802696847,True
2018,10,2018-10-31,1366.739990234375,1202.300048828125,-12.031545325460991,True
2018,11,2018-11-30,1202.300048828125,1239.5999755859375,3.102380873573818,True
2018,12,2018-12-31,1239.5999755859375,1155.1700439453125,-6.811062705992422,True
2019,1,2019-01-31,1155.1700439453125,1272.0899658203125,10.121446837010883,True
2019,2,2019-02-28,1272.0899658203125,1350.199951171875,6.140287829500557,True
2019,3,2019-03-29,1350.199951171875,1395.510009765625,3.3558036018609183,True
2019,4,2019-04-30,1395.510009765625,1556.1800537109375,11.513356609480496,True
2019,5,2019-05-31,1556.1800537109375,1296.1800537109375,-16.7075782381346,True
2019,6,2019-06-28,1296.1800537109375,1458.9599609375,12.558433279429583,True
2019,7,2019-07-31,1458.9599609375,1542.43994140625,5.7218828963001345,True
2019,8,2019-08-30,1542.43994140625,1504.9200439453125,-2.4325029749119764,True
2019,9,2019-09-30,1504.9200439453125,1558.75,3.5769312975303613,True
2019,10,2019-10-31,1558.75,1651.219970703125,5.932315682638323,True
2019,11,2019-11-29,1651.219970703125,1716.8399658203125,3.9740310970951542,True
2019,12,2019-12-31,1716.8399658203125,1849.6199951171875,7.733978235614525,True
2020,1,2020-01-31,1849.6199951171875,1789.9300537109375,-3.227146201048081,True
2020,2,2020-02-28,1789.9300537109375,1705.5400390625,-4.7147101906846896,True
2020,3,2020-03-31,1705.5400390625,1510.5899658203125,-11.430401443366145,True
2020,4,2020-04-30,1510.5899658203125,1731.239990234375,14.60687740595712,True
2020,5,2020-05-29,1731.239990234375,1852.489990234375,7.003650602108902,True
2020,6,2020-06-30,1852.489990234375,1996.43994140625,7.770619648728183,True
2020,7,2020-07-31,1996.43994140625,2136.409912109375,7.010978281897784,True
2020,8,2020-08-31,2136.409912109375,2260.429931640625,5.805066660114844,True
2020,9,2020-09-30,2260.429931640625,2244.1201171875,-0.7215359443275116,True
2020,10,2020-10-30,2244.1201171875,2246.14990234375,0.09044904239770002,True
2020,11,2020-11-30,2246.14990234375,2663.489990234375,18.580242015688732,True
2020,12,2020-12-31,2663.489990234375,2795.5,4.95627955237814,True
2021,1,2021-01-29,2795.5,2887.080078125,3.2759820470398937,True
2021,2,2021-02-26,2887.080078125,3067.6201171875,6.253378298386192,True
2021,3,2021-03-31,3067.6201171875,3124.93994140625,1.8685437579964326,True
2021,4,2021-04-30,3124.93994140625,3108.989990234375,-0.5104082469085003,True
2021,5,2021-05-28,3108.989990234375,3186.56005859375,2.4950247058700636,True
2021,6,2021-06-30,3186.56005859375,3345.31005859375,4.981861225928297,True
2021,7,2021-07-30,3345.31005859375,3356.530029296875,0.3353940443966419,True
2021,8,2021-08-31,3356.530029296875,3417.719970703125,1.8230118864471567,True
2021,9,2021-09-30,3417.719970703125,3258.090087890625,-4.670654242619521,True
2021,10,2021-10-29,3258.090087890625,3451.27001953125,5.929238493392752,True
2021,11,2021-11-30,3451.27001953125,3833.219970703125,11.066939098081674,True
2021,12,2021-12-31,3833.219970703125,3946.169921875,2.9466076049675882,True
2022,1,2022-01-31,3946.169921875,3483.2099609375,-11.731881041694404,True
2022,2,2022-02-28,3483.2099609375,3429.530029296875,-1.5411052518400914,True
2022,3,2022-03-31,3429.530029296875,3429.0,-0.015454866770292508,True
2022,4,2022-04-29,3429.0,2919.739990234375,-14.851560506434092,True
2022,5,2022-05-31,2919.739990234375,3098.68994140625,6.128968735928786,True
2022,6,2022-06-30,3098.68994140625,2556.25,-17.50546042564296,True
2022,7,2022-07-29,2556.25,2967.139892578125,16.073932227995115,True
2022,8,2022-08-31,2967.139892578125,2677.389892578125,-9.765296227682697,True
2022,9,2022-09-30,2677.389892578125,2306.699951171875,-13.845198356571952,True
2022,10,2022-10-31,2306.699951171875,2384.449951171875,3.3706161029092963,True
2022,11,2022-11-30,2384.449951171875,2826.85009765625,18.55355136588002,True
2022,12,2022-12-30,2826.85009765625,2532.110107421875,-10.426445692282904,True
2023,1,2023-01-31,2532.110107421875,2921.919921875,15.394662866774734,True
2023,2,2023-02-28,2921.919921875,2958.389892578125,1.2481509308346128,True
2023,3,2023-03-31,2958.389892578125,3230.860107421875,9.210084699359978,True
2023,4,2023-04-28,3230.860107421875,2994.969970703125,-7.301156004150943,True
2023,5,2023-05-31,2994.969970703125,3453.179931640625,15.299317369446829,True
2023,6,2023-06-30,3453.179931640625,3673.06005859375,6.367467994888365,True
2023,7,2023-07-31,3673.06005859375,3861.6298828125,5.133861717767418,True
2023,8,2023-08-31,3861.6298828125,3670.929931640625,-4.938328036579842,True
2023,9,2023-09-29,3670.929931640625,3434.2900390625,-6.446320060169741,True
2023,10,2023-10-31,3434.2900390625,3215.889892578125,-6.359397255334742,True
2023,11,2023-11-30,3215.889892578125,3724.580078125,15.818022461554705,True
2023,12,2023-12-29,3724.580078125,4175.47021484375,12.105797895631065,True
2024,1,2024-01-31,4175.47021484375,4260.919921875,2.0464690833496446,True
2024,2,2024-02-29,4260.919921875,4726.919921875,10.936605440708181,True
2024,3,2024-03-28,4726.919921875,4905.2099609375,3.771801553849441,True
2024,4,2024-04-30,4905.2099609375,4673.2998046875,-4.727833428065464,True
2024,5,2024-05-31,4673.2998046875,5123.35986328125,9.630455511164126,True
