month,observations,average_return_pct,median_return_pct,win_rate_pct,best_return_pct,worst_return_pct
1,10,2.469676787422299,2.117219570444473,70.0,10.703607286387061,-4.1846640115894225
2,10,2.4728821625421302,2.3824655976055653,60.0,10.450243655218117,-2.596590893739903
3,10,-1.8089800237362073,0.7939470823703609,70.0,7.000032161511949,-14.028393125502014
4,10,3.4368133056177994,0.5598789170940033,60.0,22.707947769110028,-6.224273700975558
5,10,2.8118642758841617,1.8729394956802259,70.0,14.916035629079637,-4.278369361754897
6,10,2.2007091889765173,3.321549321795858,80.0,8.774963139138059,-11.792403156397313
7,10,0.7512749761944135,1.0212019925093685,70.0,8.97976463785275,-6.517291474574705
8,10,0.8382216541803643,0.47272286943887964,70.0,6.977591474904199,-2.979919430425493
9,9,-1.1793398059503104,-0.6023134746196868,22.22222222222222,6.550709566667079,-11.068640596100543
10,9,0.5312033259360103,0.3108397693030396,66.66666666666666,9.344537333456216,-10.94105760861468
11,9,3.4552286055848334,1.1520674442784484,66.66666666666666,14.902218189540338,-2.4448706707104084
12,9,2.405049905004645,3.4704098820887097,77.77777777777779,7.3573423673876315,-4.9857690588761
